EC number	SuperFamilyCount	ProteinCount	Entries
('1.1.5.2',)	2	3	"{""('SSF50952',)"": [""P13650""], ""('SSF50998',)"": [""P15877"", ""P27175""]}"
('1.1.99.14',)	2	2	"{""('SSF46548',)"": [""P94534""], ""('SSF54862',)"": [""P52074""]}"
('1.11.1.10',)	2	2	"{""('SSF47571',)"": [""P04963""], ""('SSF48317',)"": [""P49053""]}"
('1.11.1.28',)	2	62	"{""('SSF52833',)"": [""P9WQB7"", ""A0R1V9"", ""P9WQB6""], ""('SSF69118',)"": [""P9WQB5"", ""A0PSD4"", ""A0QGI9"", ""A1KLC4"", ""A4YYT0"", ""A5ENR3"", ""A5U5C5"", ""A5VCB6"", ""A6X5N3"", ""A7HCA3"", ""A8HQP5"", ""A8L1J2"", ""A9H8D2"", ""A9KBI4"", ""A9MBZ4"", ""A9N917"", ""A9WZ04"", ""B0UAJ8"", ""B1MJX0"", ""B1W2G7"", ""B2HD59"", ""B2IHZ4"", ""B2SAW2"", ""B4UA87"", ""B6IQZ3"", ""B6IZ19"", ""B8EJZ2"", ""B8J9Z2"", ""C0ZYQ9"", ""C1AQZ5"", ""C1F4K1"", ""C3PGV9"", ""C4LJ26"", ""P0A5N5"", ""P9WQB4"", ""Q02BZ5"", ""Q07I00"", ""Q0AKM4"", ""Q0BUC5"", ""Q0BXT2"", ""Q0RH96"", ""Q1IJ49"", ""Q20Y19"", ""Q2IMQ8"", ""Q2YKW2"", ""Q50441"", ""Q578J2"", ""Q5YT53"", ""Q6NGT4"", ""Q73ZL4"", ""Q7AKI6"", ""Q82IC5"", ""Q83BM5"", ""Q8FVW4"", ""Q8YCF2"", ""Q9ANL0"", ""Q9X5V1"", ""B8GVX4"", ""Q9A268""]}"
('1.11.1.5',)	2	22	"{""('SSF46626',)"": [""P14532"", ""A0A391NGM7"", ""A0A391NKV7"", ""P0DV68"", ""P0DV69"", ""P55929""], ""('SSF48113',)"": [""P00431"", ""P0C0V3"", ""P0CP54"", ""P0CP55"", ""Q4ING3"", ""Q4PBY6"", ""Q4WPF8"", ""Q5AEN1"", ""Q6BKY9"", ""Q6C0Z6"", ""Q6CW24"", ""Q6FMG7"", ""Q6URB0"", ""Q7SDV9"", ""A4QVH4"", ""Q6CAB5""]}"
('1.11.1.6',)	2	133	"{""('SSF47240',)"": [""A0A7R7ZDZ6"", ""P60355"", ""P80878"", ""Q97FE0""], ""('SSF56634',)"": [""A2YH64"", ""O13289"", ""O52762"", ""O77229"", ""O97492"", ""P00432"", ""P04040"", ""P04762"", ""P06115"", ""P15202"", ""P17336"", ""P17598"", ""P18122"", ""P18123"", ""P24270"", ""P25819"", ""P26901"", ""P29422"", ""P30567"", ""P42321"", ""Q0D9C4"", ""Q0E4K1"", ""Q10S82"", ""Q27487"", ""Q42547"", ""Q59337"", ""Q5RF10"", ""Q92405"", ""Q96528"", ""B8AME2"", ""O48560"", ""O48561"", ""O61235"", ""O62839"", ""P07820"", ""P0A326"", ""P0A327"", ""P0C549"", ""P11934"", ""P12365"", ""P29756"", ""P45737"", ""P46206"", ""P49318"", ""P49319"", ""P55306"", ""P55308"", ""P55312"", ""P78619"", ""P83657"", ""Q43206"", ""Q59635"", ""Q59714"", ""Q64405"", ""Q9C169"", ""Q9PT92"", ""A6ZV70"", ""O24339"", ""O68146"", ""O93662"", ""P07145"", ""P0A323"", ""P0A324"", ""P0A325"", ""P24168"", ""P25890"", ""P30263"", ""P30264"", ""P30265"", ""P32290"", ""P44390"", ""P45739"", ""P48350"", ""P48351"", ""P48352"", ""P49284"", ""P49315"", ""P49316"", ""P49317"", ""P55304"", ""P55307"", ""P55310"", ""P55311"", ""P55313"", ""P77872"", ""P81138"", ""P90682"", ""P94377"", ""P95631"", ""Q01297"", ""Q27710"", ""Q2FH99"", ""Q2FYU7"", ""Q2I6W4"", ""Q2PUJ9"", ""Q2YXT2"", ""Q49XC1"", ""Q4L643"", ""Q59296"", ""Q59602"", ""Q5HG86"", ""Q5HPK8"", ""Q66V81"", ""Q6G9M4"", ""Q6GH72"", ""Q7A5T2"", ""Q7MFM6"", ""Q87JE8"", ""Q8CPD0"", ""Q8D452"", ""Q8FWU0"", ""Q8NWV5"", ""Q8X1P0"", ""Q8Y3P9"", ""Q926X0"", ""Q96VB8"", ""Q99UE2"", ""Q9AXH0"", ""Q9EV50"", ""Q9KRQ1"", ""Q9KW19"", ""Q9L4S1"", ""Q9M5L6"", ""Q9PWF7"", ""Q9XHH3"", ""Q9XZD5"", ""Q9Z598"", ""Q9ZKX5"", ""Q9ZN99""]}"
('1.11.1.7',)	2	144	"{""('SSF48113',)"": [""A0A452E9Y6"", ""A5H8G4"", ""A5JUY8"", ""O04795"", ""O04796"", ""O23044"", ""P00433"", ""P00434"", ""P0DI10"", ""P11678"", ""P22079"", ""P22195"", ""P24101"", ""P24102"", ""P28313"", ""P28314"", ""P49290"", ""P80025"", ""P80679"", ""P82600"", ""P84516"", ""P90820"", ""Q01603"", ""Q02200"", ""Q05855"", ""Q20616"", ""Q23490"", ""Q39034"", ""Q42578"", ""Q42580"", ""Q43387"", ""Q43729"", ""Q43731"", ""Q43735"", ""Q4W1I8"", ""Q4W1I9"", ""Q5SW46"", ""Q67Z07"", ""Q6TMK4"", ""Q8R481"", ""Q96511"", ""Q96520"", ""Q9FEQ8"", ""Q9FJZ9"", ""Q9FKA4"", ""Q9FLC0"", ""Q9LEH3"", ""Q9LHB9"", ""Q9LSY7"", ""Q9SB81"", ""Q9SD46"", ""Q9SJZ2"", ""Q9SLH7"", ""Q9SMU8"", ""Q9VEG6"", ""Q9XIV8"", ""A2YPX3"", ""A5H452"", ""A5H453"", ""A5H454"", ""A8NK72"", ""C0IW58"", ""O22862"", ""O22959"", ""O23237"", ""O23474"", ""O23609"", ""O48677"", ""O49293"", ""O80822"", ""O80912"", ""O81755"", ""O81772"", ""P11965"", ""P12437"", ""P15003"", ""P15004"", ""P15232"", ""P15233"", ""P17179"", ""P17180"", ""P22196"", ""P27337"", ""P37834"", ""P59120"", ""P59121"", ""Q0D3N0"", ""Q40372"", ""Q42517"", ""Q43872"", ""Q43873"", ""Q7QH73"", ""Q93V93"", ""Q96509"", ""Q96510"", ""Q96512"", ""Q96518"", ""Q96519"", ""Q96522"", ""Q9FG34"", ""Q9FJR1"", ""Q9FL16"", ""Q9FLV5"", ""Q9FMI7"", ""Q9FMR0"", ""Q9FX85"", ""Q9LDA4"", ""Q9LDN9"", ""Q9LE15"", ""Q9LHA7"", ""Q9LNL0"", ""Q9LSP0"", ""Q9LT91"", ""Q9LVL1"", ""Q9LVL2"", ""Q9LXG3"", ""Q9M9Q9"", ""Q9SI16"", ""Q9SI17"", ""Q9SK52"", ""Q9SS67"", ""Q9SUT2"", ""Q9SY33"", ""Q9SZB9"", ""Q9SZE7"", ""Q9SZH2"", ""Q9ZV04"", ""A7NY33"", ""A7QEU4"", ""P15984"", ""P16147"", ""P19135"", ""P85317"", ""P86103"", ""Q01548"", ""P85331"", ""P85347"", ""P85431"", ""P85433"", ""P85434"", ""P85999"", ""P86002""], ""('SSF54909',)"": [""I6Y4U9"", ""Q743F4""]}"
('1.12.1.2',)	3	5	"{""('SSF54292',)"": [""P22318"", ""P22659""], ""('SSF56762',)"": [""P22320"", ""P22661""], ""('SSF56770',)"": [""P22319""]}"
('1.12.1.3',)	3	4	"{""('SSF52833',)"": [""Q46505"", ""Q46506""], ""('SSF56762',)"": [""E7FI44""], ""('SSF56770',)"": [""E7FHU4""]}"
('1.12.1.5',)	2	2	"{""('SSF56762',)"": [""E7FHC4""], ""('SSF56770',)"": [""E7FHF8""]}"
('1.12.2.1',)	2	11	"{""('SSF56762',)"": [""P12944"", ""P18188"", ""P21852""], ""('SSF56770',)"": [""P12943"", ""P18187"", ""P21853"", ""P13061"", ""P61429"", ""Q06173"", ""P13062"", ""P80510""]}"
('1.12.5.1',)	2	2	"{""('SSF56762',)"": [""P31883""], ""('SSF56770',)"": [""P31884""]}"
('1.12.7.2',)	4	5	"{""('SSF143243',)"": [""Q8U0Z7""], ""('SSF48674',)"": [""P07603"", ""P13628""], ""('SSF56762',)"": [""Q8U0Z6""], ""('SSF56770',)"": [""Q8U0Z8""]}"
('1.12.98.1',)	2	8	"{""('SSF56762',)"": [""P19496"", ""P80489"", ""Q00390"", ""Q60338""], ""('SSF56770',)"": [""P19498"", ""P80491"", ""Q00393"", ""Q60340""]}"
('1.12.98.3',)	3	6	"{""('SSF56762',)"": [""F1SVF8"", ""Q50249""], ""('SSF56770',)"": [""Q50225"", ""Q50248""], ""('SSF81342',)"": [""Q50227"", ""Q50250""]}"
('1.12.98.4',)	2	2	"{""('SSF46548',)"": [""E7FHN9""], ""('SSF54862',)"": [""Q8U2E5""]}"
('1.12.99.6',)	2	34	"{""('SSF56762',)"": [""P0ACD8"", ""P0ACE0"", ""P13065"", ""P21949"", ""P31891"", ""O33406"", ""P0ACD9"", ""P0ACE1"", ""P0ACE2"", ""P12636"", ""P15284"", ""P17632"", ""P18191"", ""P18636"", ""P33374"", ""Q46046""], ""('SSF56770',)"": [""P12635"", ""P17633"", ""P18190"", ""P21950"", ""P31892"", ""P69739"", ""P69740"", ""P69741"", ""P69742"", ""P69743"", ""O33405"", ""P13063"", ""P15283"", ""P18637"", ""P33375"", ""Q46045"", ""Q83RW9"", ""P13064""]}"
('1.13.11.8',)	2	2	"{""('SSF48076',)"": [""P22635""], ""('SSF53213',)"": [""P22636""]}"
('1.14.11.29',)	2	5	"{""('SSF144232',)"": [""G5EBV0"", ""Q91YE3"", ""Q9GZT9""], ""('SSF47473',)"": [""Q8BG58"", ""Q9NXG6""]}"
('1.14.11.68',)	2	4	"{""('SSF48452',)"": [""Q6B4Z3""], ""('SSF51197',)"": [""O15054"", ""Q0WVR4"", ""Q5NCY0""]}"
('1.14.13.111',)	2	2	"{""('SSF50022',)"": [""P70752""], ""('SSF54427',)"": [""Q9X405""]}"
('1.14.13.236',)	2	3	"{""('SSF110814',)"": [""Q00457""], ""('SSF47240',)"": [""Q00456"", ""Q00460""]}"
('1.14.13.244',)	2	4	"{""('SSF47240',)"": [""P19730"", ""P19732"", ""Q7WTJ6""], ""('SSF56029',)"": [""P19731""]}"
('1.14.13.25',)	2	6	"{""('SSF47152',)"": [""P11987"", ""P27355""], ""('SSF47240',)"": [""P22869"", ""P27353"", ""P18798"", ""P27354""]}"
('1.14.13.39',)	3	4	"{""('SSF52218',)"": [""Q9I9M2""], ""('SSF52540',)"": [""Q66GP9"", ""Q6YPG5""], ""('SSF56512',)"": [""O46660""]}"
('1.14.13.69',)	2	3	"{""('SSF110814',)"": [""Q9ZET6""], ""('SSF47240',)"": [""O87082"", ""Q9ZET3""]}"
('1.14.14.18',)	2	53	"{""('SSF48613',)"": [""I3SL57"", ""O48782"", ""P06762"", ""P09601"", ""P14791"", ""P14901"", ""P23711"", ""P30519"", ""P32394"", ""Q5E9F2"", ""Q9C9L4"", ""Q9LQC0"", ""O70252"", ""P43242"", ""Q5R7E3"", ""Q69XJ4"", ""O19998"", ""O70453"", ""O73688"", ""O78497"", ""P51271"", ""P71119"", ""P72849"", ""P74133"", ""Q1XDL5"", ""Q2PG53"", ""Q8YVS7"", ""A0A0H2XEA6""], ""('SSF54909',)"": [""O31534"", ""P38049"", ""Q81L50"", ""A0AFT8"", ""A0RJE3"", ""A9VJK2"", ""B7HF56"", ""B7HRI4"", ""B7IJU1"", ""B7JR48"", ""B8DCJ3"", ""B9J044"", ""C1ETY1"", ""C1KZZ5"", ""C3L7Z8"", ""C3PAD1"", ""Q5WCF2"", ""Q633Q1"", ""Q6HCY5"", ""Q723G7"", ""Q72ZK2"", ""Q7AP29"", ""Q812Q3"", ""Q92EH3"", ""Q9K7R6""]}"
('1.14.99.56',)	2	33	"{""('SSF57016',)"": [""A0A384JZ02""], ""('SSF57180',)"": [""A8NCG7"", ""G0R6T8"", ""G2Q9T3"", ""O14405"", ""Q5BCX8"", ""Q7S439"", ""Q7SHI8"", ""A0A1C9CXI1"", ""A0A384JJB6"", ""A0A5N6UV50"", ""A0A5N6V703"", ""A1C4H2"", ""A1DBS6"", ""A2R5N0"", ""B0Y9G4"", ""B2ADG1"", ""B2ATL7"", ""B2AVF1"", ""B2B629"", ""B8MXJ7"", ""G2QCJ3"", ""G2QZK6"", ""G2RB73"", ""Q00023"", ""Q0CEU4"", ""Q2US83"", ""Q4WBU0"", ""Q5AQA6"", ""Q7RWN7"", ""Q7SHD9"", ""Q96WQ9"", ""A0A384K4U6""]}"
('1.14.99.58',)	2	2	"{""('SSF48613',)"": [""G3XCZ8""], ""('SSF50475',)"": [""Q9KL41""]}"
('1.14.99.60',)	2	115	"{""('SSF47240',)"": [""A1TKP1"", ""A1V0S8"", ""A1WHG6"", ""A2RPN0"", ""A2S5V5"", ""A4G1T0"", ""A9I769"", ""B0TZT4"", ""C1DHY3"", ""C5CPL7"", ""Q0VMY0"", ""Q12FJ1"", ""Q13TY2"", ""Q1IFZ3"", ""Q1LIL6"", ""Q1QZ39"", ""Q21MQ9"", ""Q2RNK3"", ""Q2SZJ3"", ""Q2YC72"", ""Q3BYB0"", ""Q4K507"", ""Q4ZML8"", ""Q5GV65"", ""Q5NHC6"", ""Q5ZZI2"", ""Q6F9T3"", ""Q7VUE5"", ""Q7W1A7"", ""Q82U40"", ""Q83AL3"", ""Q87DD2"", ""Q889Z8"", ""Q88QR1"", ""Q8PD67"", ""Q9I5R6"", ""Q9PD41"", ""A0K476"", ""A0Q6K1"", ""A1K973"", ""A1VJY7"", ""A1W3V1"", ""A2SKI7"", ""A3M6L7"", ""A3MR53"", ""A3NDX4"", ""A3NZM5"", ""A4IY33"", ""A4JB84"", ""A4SV64"", ""A4VHK4"", ""A4XZC2"", ""A5I9H9"", ""A5VXM0"", ""A5WDY5"", ""A6SUN5"", ""A6UZF6"", ""A6VZM4"", ""A7NC15"", ""A9AJ26"", ""A9BXN5"", ""A9KB88"", ""A9NAW1"", ""B0KK40"", ""B0VM45"", ""B1JE29"", ""B1JUW2"", ""B1XT00"", ""B1YSR4"", ""B2HTV8"", ""B2SH27"", ""B2SL08"", ""B2SYY5"", ""B2UCY7"", ""B3R6W9"", ""B4E6K2"", ""B6J3G0"", ""B7H121"", ""B7IB81"", ""B7V613"", ""B9MDA8"", ""C1D7C0"", ""C3K303"", ""Q02TB1"", ""Q0AIU7"", ""Q0BIL1"", ""Q0BM15"", ""Q0K6L4"", ""Q14IS8"", ""Q1BZH3"", ""Q1QA35"", ""Q220S2"", ""Q2A3K5"", ""Q2KYH8"", ""Q2NYE2"", ""Q39JY0"", ""Q3JCJ6"", ""Q3JNC9"", ""Q3K5V9"", ""Q3SGX7"", ""Q46WY4"", ""Q47IC7"", ""Q48NP2"", ""Q4FRJ8"", ""Q4UZF3"", ""Q5P7T5"", ""Q5X0J0"", ""Q5X963"", ""Q62GR7"", ""Q63QI7"", ""Q7NSP9"", ""Q7WP11"", ""Q8PQ42"", ""Q8XVH7""], ""('SSF51905',)"": [""P75728""]}"
('1.15.1.1',)	5	193	"{""('SSF109770',)"": [""P80734"", ""P80735""], ""('SSF46609',)"": [""P28524"", ""P36215"", ""P86254"", ""P81527""], ""('SSF49329',)"": [""A0A1D1VU85"", ""J9VLJ9"", ""O09164"", ""O59924"", ""O73872"", ""O78310"", ""P00441"", ""P00442"", ""P00443"", ""P00445"", ""P03946"", ""P04178"", ""P07505"", ""P07509"", ""P07632"", ""P08228"", ""P08294"", ""P09212"", ""P09670"", ""P0AGD1"", ""P0CW86"", ""P13926"", ""P15107"", ""P24704"", ""P33431"", ""P34461"", ""P34697"", ""P60052"", ""P61851"", ""P80566"", ""P83684"", ""P9WGE9"", ""Q08420"", ""Q52RN5"", ""Q54RQ1"", ""Q5ACV9"", ""Q5AD05"", ""Q5AD07"", ""Q6FWL5"", ""Q7JR71"", ""Q8HXP8"", ""Q8HXP9"", ""Q8HXQ0"", ""Q8HXQ1"", ""Q8HXQ2"", ""Q8HXQ3"", ""Q8HXQ4"", ""Q8L5E0"", ""Q9FK60"", ""Q9HEY7"", ""A2QMY6"", ""D4B5D4"", ""E8XDJ8"", ""H6BDU4"", ""O42724"", ""O46412"", ""P00446"", ""P09678"", ""P0A609"", ""P10791"", ""P11418"", ""P11428"", ""P11964"", ""P15453"", ""P16026"", ""P23345"", ""P23346"", ""P24702"", ""P25842"", ""P28755"", ""P28757"", ""P28758"", ""P41973"", ""P61852"", ""P61854"", ""P80174"", ""P81036"", ""P81926"", ""P82205"", ""P85978"", ""P93407"", ""Q01137"", ""Q0DRV6"", ""Q43779"", ""Q54RN1"", ""Q55GQ5"", ""Q5FB29"", ""Q70Q35"", ""Q751L8"", ""Q877B5"", ""Q8WNN6"", ""Q8X1S6"", ""Q95088"", ""Q96VL0"", ""Q9U4X3"", ""Q9U4X4"", ""A2XGP6"", ""A8XCP3"", ""B6QEB3"", ""C0HK70"", ""O04996"", ""O04997"", ""O22373"", ""O22668"", ""O49044"", ""O49073"", ""O65174"", ""O65175"", ""O65198"", ""O65199"", ""O65768"", ""O68901"", ""O94178"", ""P0AGD2"", ""P10792"", ""P14830"", ""P14831"", ""P20379"", ""P22233"", ""P24669"", ""P24706"", ""P24707"", ""P27082"", ""P36214"", ""P41962"", ""P41963"", ""P41974"", ""P41975"", ""P51547"", ""P54407"", ""P57005"", ""P61853"", ""P66826"", ""P66827"", ""P69049"", ""P93258"", ""P9WGE8"", ""Q02610"", ""Q07182"", ""Q07449"", ""Q07796"", ""Q0IIW3"", ""Q12548"", ""Q19VG9"", ""Q27666"", ""Q42611"", ""Q42612"", ""Q51853"", ""Q54G70"", ""Q54TU5"", ""Q59448"", ""Q59452"", ""Q59623"", ""Q59689"", ""Q5ZT17"", ""Q6C662"", ""Q6CPE2"", ""Q6T3B0"", ""Q711T9"", ""Q7M1R5"", ""Q8J0N2"", ""Q8J0N3"", ""Q90023"", ""Q95079"", ""Q95081"", ""Q95085"", ""Q95086"", ""Q95087"", ""Q95095"", ""Q9AGW2"", ""Q9C0N4"", ""Q9CBI6"", ""Q9RU48"", ""Q9U4X2"", ""Q9U4X5"", ""Q9Y8D9"", ""O12933"", ""O66602"", ""O67149"", ""P24705"", ""P82902"", ""Q54TW8"", ""Q59081"", ""Q9SQL5""], ""('SSF49367',)"": [""O50258""], ""('SSF51182',)"": [""Q94EG3"", ""Q9SPV5""]}"
('1.16.1.7',)	2	7	"{""('SSF52343',)"": [""F4I4K7"", ""P78588"", ""Q75CQ8""], ""('SSF63380',)"": [""V5XKC3"", ""A5F660"", ""P0C6Q2"", ""Q56743""]}"
('1.16.1.9',)	2	4	"{""('SSF52343',)"": [""P32791"", ""Q12473"", ""Q5A446""], ""('SSF63380',)"": [""Q46871""]}"
('1.16.3.1',)	4	113	"{""('SSF47240',)"": [""P02794"", ""P09528"", ""P0ABD3"", ""P19130"", ""P19132"", ""P19976"", ""P24602"", ""P29036"", ""P29390"", ""P9WNE5"", ""P9WPQ9"", ""Q2RVS1"", ""Q39101"", ""Q7KRU8"", ""Q8N4E7"", ""Q9HWF9"", ""Q9HY79"", ""Q9LYN2"", ""Q9S756"", ""A0A7E5WTY7"", ""D0LZ73"", ""I4DJ24"", ""O46414"", ""P07229"", ""P07798"", ""P08267"", ""P0A0R2"", ""P18685"", ""P19975"", ""P25699"", ""P29389"", ""P41822"", ""P42578"", ""P43315"", ""P80145"", ""Q2MHN2"", ""Q59738"", ""Q5R8J7"", ""Q8MIP0"", ""Q93PP9"", ""Q94IC4"", ""Q95MP7"", ""Q9D5H4"", ""Q9SRL5"", ""Q9XT73"", ""A0R647"", ""H8F1Z2"", ""O46119"", ""O50171"", ""O65100"", ""O68926"", ""O68935"", ""P0A0R1"", ""P0ABD4"", ""P13570"", ""P17663"", ""P22759"", ""P25319"", ""P25320"", ""P25915"", ""P42577"", ""P43314"", ""P45430"", ""P49944"", ""P49946"", ""P49947"", ""P49948"", ""P56998"", ""P63698"", ""P77930"", ""P85835"", ""P85836"", ""P85837"", ""P85838"", ""P85839"", ""P9WNE4"", ""P9WPQ8"", ""Q26061"", ""Q2YDI9"", ""Q41709"", ""Q7SXA6"", ""Q8FW95"", ""Q8H1T3"", ""Q8RX97"", ""Q948P5"", ""Q948P6"", ""Q94FY2"", ""Q96540"", ""Q9S2N0""], ""('SSF47729',)"": [""A5U6Z7"", ""O33125"", ""P9WMK7"", ""Q9XB18"", ""Q9ZHC5"", ""P9WMK6""], ""('SSF49503',)"": [""Q3V1H3"", ""Q6MZM0"", ""Q9BQS7"", ""Q9Z0Z4"", ""I6WZK7"", ""Q920H8""], ""('SSF55387',)"": [""D3ZYW7"", ""O35943"", ""Q07540"", ""Q16595"", ""Q9W385"", ""Q9ZR07"", ""I7HD01"", ""O74831"", ""Q05B87"", ""Q8HXX9"", ""Q9TY03"", ""Q54C45""]}"
('1.17.4.1',)	2	116	"{""('SSF47240',)"": [""P09938"", ""P11157"", ""P31350"", ""P36603"", ""P49723"", ""P50651"", ""P69924"", ""P9WH71"", ""Q4KLN6"", ""Q6PEE3"", ""Q7LG56"", ""Q9LSD0"", ""P0DKH3"", ""P11158"", ""P37146"", ""P42170"", ""P42521"", ""P48592"", ""P79733"", ""Q5R9G0"", ""F5HAW0"", ""O15910"", ""O30601"", ""O36410"", ""O46310"", ""O57175"", ""O64174"", ""O83092"", ""O84835"", ""P06474"", ""P07201"", ""P09247"", ""P0C701"", ""P0C8I0"", ""P0CAP6"", ""P0CAP7"", ""P0DSS7"", ""P0DSS8"", ""P10224"", ""P11156"", ""P17424"", ""P20493"", ""P28847"", ""P29883"", ""P32209"", ""P37427"", ""P42492"", ""P43755"", ""P47471"", ""P49730"", ""P50621"", ""P50644"", ""P50645"", ""P50649"", ""P50650"", ""P55983"", ""P57275"", ""P69520"", ""P69521"", ""P69925"", ""P75461"", ""P9WH70"", ""P9WH72"", ""P9WH73"", ""Q01038"", ""Q01319"", ""Q4JQV7"", ""Q4R741"", ""Q4R7Q7"", ""Q60561"", ""Q66662"", ""Q6UDJ1"", ""Q77MS0"", ""Q9C167"", ""Q9CBQ2"", ""Q9DHU2"", ""Q9KFH7"", ""Q9XC20"", ""Q9Z6S4"", ""A0A7H0DN21"", ""P0C8I1"", ""P0C8I2"", ""P26713"", ""Q197B2"", ""Q6GZQ8"", ""Q7T6Y9"", ""Q89AS5"", ""Q8K9W4"", ""Q8SRR2"", ""Q91FE8"", ""Q9PL92"", ""Q9QTF2"", ""Q9ZKC3""], ""('SSF51998',)"": [""P08543"", ""P89462"", ""O54196"", ""O69981"", ""P03190"", ""P09248"", ""P09853"", ""P0C702"", ""P28846"", ""P50642"", ""P50643"", ""P50646"", ""Q01037"", ""Q3KSU5"", ""Q4JQV6"", ""Q66663"", ""Q6GZT8"", ""Q6MNP6"", ""Q6UDJ2"", ""Q77MS1"", ""Q7UI46"", ""Q82KE2"", ""Q9XD73""]}"
('1.17.7.3',)	2	71	"{""('SSF51717',)"": [""A7ZCT9""], ""('SSF56014',)"": [""A0Q6U8"", ""A1KUD8"", ""A1UR54"", ""A1V4K1"", ""A2S2A2"", ""A3MK75"", ""A3NA54"", ""A3NVX1"", ""A6L089"", ""A6UE79"", ""A6WXY9"", ""A9IYW1"", ""A9LZN8"", ""A9M820"", ""A9WWQ2"", ""B0B9G5"", ""B0BB44"", ""B2IE63"", ""B2S7K6"", ""B3PR71"", ""B4RMG4"", ""B5ZUA0"", ""B6JA27"", ""B9JE02"", ""B9JV07"", ""C0RF32"", ""C1DD43"", ""C3MAL6"", ""O83460"", ""O84060"", ""P58665"", ""Q029T9"", ""Q04UL2"", ""Q04YW2"", ""Q0BMA6"", ""Q1IRS5"", ""Q1MAC5"", ""Q1QQI9"", ""Q254D2"", ""Q2K333"", ""Q2YLG4"", ""Q3KMW4"", ""Q3SVD0"", ""Q57BA5"", ""Q5F913"", ""Q5L669"", ""Q5L7W2"", ""Q63UT3"", ""Q64N34"", ""Q6G104"", ""Q6G1X4"", ""Q6MD85"", ""Q73N90"", ""Q7NS88"", ""Q7VWL0"", ""Q7W6P6"", ""Q7WHN0"", ""Q823I7"", ""Q87A73"", ""Q8A4T0"", ""Q8FYT2"", ""Q8KG23"", ""Q8YJ17"", ""Q92L19"", ""Q98FG0"", ""Q9JU34"", ""Q9JZ40"", ""Q9PAE3"", ""Q9PKY3"", ""Q9Z8H0""]}"
('1.17.7.4',)	3	5	"{""('SSF50249',)"": [""Q895G2"", ""Q8RI52"", ""Q97I09""], ""('SSF53800',)"": [""B5YEC2""], ""('SSF53850',)"": [""B1YL84""]}"
