Entry	Entry Name	EC number	SUPFAM	Protein existence	Protein names	Gene Names	Organism	PDB	AlphaFoldDB	Date of last modification	Entry version	Taxonomic lineage	Super Kingdom	Is EC Complete
P00395	COX1_HUMAN	('7.1.1.9',)	('SSF81442',)	Evidence at protein level	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	MT-CO1 COI COXI MTCO1	Homo sapiens (Human)	('5Z62',)	P00395;	2025-06-18	229	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Eukaryota	True
P00396	COX1_BOVIN	('7.1.1.9',)	('SSF81442',)	Evidence at protein level	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	MT-CO1 COI COXI MTCO1	Bos taurus (Bovine)	('1OCC', '1OCO', '1OCR', '1OCZ', '1V54', '1V55', '2DYR', '2DYS', '2EIJ', '2EIK', '2EIL', '2EIM', '2EIN', '2OCC', '2Y69', '2YBB', '2ZXW', '3ABK', '3ABL', '3ABM', '3AG1', '3AG2', '3AG3', '3AG4', '3ASN', '3ASO', '3WG7', '3X2Q', '5B1A', '5B1B', '5B3S', '5GPN', '5IY5', '5LUF', '5W97', '5WAU', '5X19', '5X1B', '5X1F', '5XDQ', '5XDX', '5XTH', '5XTI', '5Z84', '5Z85', '5Z86', '5ZCO', '5ZCP', '5ZCQ', '6J8M', '6JUW', '6JY3', '6JY4', '6NKN', '6NMF', '6NMP', '7COH', '7CP5', '7D5W', '7D5X', '7DGQ', '7DGR', '7DGS', '7DKF', '7EV7', '7THU', '7TIE', '7TIH', '7TII', '7VUW', '7VVR', '7W3E', '7XMA', '7XMB', '7Y44', '7YPY', '8D4T', '8GBT', '8GCQ', '8GVM', '8H8R', '8H8S', '8IJN')	P00396;	2025-06-18	186	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Artiodactyla (order), Ruminantia (suborder), Pecora (infraorder), Bovidae (family), Bovinae (subfamily), Bos (genus)	Eukaryota	True
P00397	COX1_MOUSE	('7.1.1.9',)	('SSF81442',)	Evidence at protein level	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	Mtco1 COI mt-Co1	Mus musculus (Mouse)	('7O37', '7O3C', '7O3E', '8PW5', '8PW6', '8PW7')	P00397;	2025-06-18	175	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Mus (genus), Mus (subgenus)	Eukaryota	True
P00401	COX1_YEAST	('7.1.1.9',)	('SSF81442',)	Evidence at protein level	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	COX1 OXI3 Q0045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	('6GIQ', '6HU9', '6T0B', '6T15', '6YMX', '6YMY', '7Z10', '8DH6', '8E7S', '8EC0', '9ETZ')	P00401;	2025-06-18	198	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Saccharomyces (genus), Saccharomyces cerevisiae (species)	Eukaryota	True
P00414	COX3_HUMAN	('7.1.1.9',)	('SSF81452',)	Evidence at protein level	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	MT-CO3 COIII COXIII MTCO3	Homo sapiens (Human)	('5Z62',)	P00414;	2025-06-18	217	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Eukaryota	True
P00416	COX3_MOUSE	('7.1.1.9',)	('SSF81452',)	Evidence at protein level	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	mt-Co3 COIII Mtco3	Mus musculus (Mouse)	('7O37', '7O3C', '7O3E', '8PW5', '8PW6', '8PW7')	P00416;	2025-06-18	159	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Mus (genus), Mus (subgenus)	Eukaryota	True
P00420	COX3_YEAST	('7.1.1.9',)	('SSF81452',)	Evidence at protein level	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	COX3 OXI2 Q0275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	('6GIQ', '6HU9', '6T0B', '6T15', '6YMX', '6YMY', '7Z10', '8DH6', '8E7S', '8EC0', '9ETZ')	P00420;	2025-06-18	183	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Saccharomyces (genus), Saccharomyces cerevisiae (species)	Eukaryota	True
P02915	HISP_SALTY	('7.4.2.1',)	('SSF52540',)	Evidence at protein level	Histidine/lysine/arginine/ornithine transport ATP-binding protein HisP (EC 7.4.2.1)	hisP STM2351	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	('1B0U',)	P02915;	2025-06-18	164	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Salmonella (genus), Salmonella enterica (species), Salmonella enterica I (subspecies), Salmonella typhimurium (no rank)	Bacteria	True
P03945	COX1_NEUCR	('7.1.1.9',)	('SSF81442',)	Evidence at protein level	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I) (Cytochrome c oxidase subunit Cox1)	cox-1 coi cox1 NCM025 NCU16016	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	()	P03945;	2025-06-18	145	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Sordariomycetidae (subclass), Sordariales (order), Sordariaceae (family), Neurospora (genus), Neurospora crassa (species)	Eukaryota	True
P04394	NDUV2_BOVIN	('7.1.1.2',)	('SSF52833',)	Evidence at protein level	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 7.1.1.2) (NADH dehydrogenase subunit II) (NADH-ubiquinone oxidoreductase 24 kDa subunit)	NDUFV2	Bos taurus (Bovine)	('5LC5', '5LDW', '5LDX', '5O31', '7DGQ', '7DGR', '7DGS', '7DGZ', '7DH0', '7DKF', '7QSD', '7QSK', '7QSL', '7QSM', '7QSN', '7QSO', '7R41', '7R42', '7R43', '7R44', '7R45', '7R46', '7R47', '7R48', '7R4C', '7R4D', '7R4F', '7R4G', '8Q0A', '8Q0F', '8Q0J', '8Q0M', '8Q0O', '8Q0Q', '8Q1P', '8Q1U', '8Q1Y', '8Q25', '8Q45', '8Q46', '8Q47', '8Q48', '8Q49', '8Q4A')	P04394;	2025-06-18	197	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Artiodactyla (order), Ruminantia (suborder), Pecora (infraorder), Bovidae (family), Bovinae (subfamily), Bos (genus)	Eukaryota	True
P04983	RBSA_ECOLI	('7.5.2.7',)	('SSF52540',)	Evidence at protein level	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)	rbsA b3749 JW3728	Escherichia coli (strain K12)	()	P04983;	2025-06-18	191	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P05503	COX1_RAT	('7.1.1.9',)	('SSF81442',)	Evidence at transcript level	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	Mt-co1 Coi Mtco1	Rattus norvegicus (Rat)	()	P05503;	2025-06-18	183	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Rattus (genus)	Eukaryota	True
P06611	BTUD_ECOLI	('7.6.2.8',)	('SSF52540',)	Evidence at protein level	Vitamin B12 import ATP-binding protein BtuD (EC 7.6.2.8) (Vitamin B12-transporting ATPase)	btuD b1709 JW1699	Escherichia coli (strain K12)	('1L7V', '2QI9', '4DBL', '4FI3', '4R9U')	P06611;	2025-06-18	198	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P07821	FHUC_ECOLI	('7.2.2.16',)	('SSF52540',)	Evidence at protein level	Iron(3+)-hydroxamate import ATP-binding protein FhuC (EC 7.2.2.16) (Ferric hydroxamate uptake protein C) (Ferrichrome transport ATP-binding protein FhuC) (Iron(III)-hydroxamate import ATP-binding protein FhuC)	fhuC b0151 JW0147	Escherichia coli (strain K12)	('7LB8',)	P07821;	2025-06-18	192	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P08980	UCRIA_SPIOL	('7.1.1.6',)	('SSF50022',)	Evidence at protein level	Cytochrome b6-f complex iron-sulfur subunit, chloroplastic (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein) (Rieske iron-sulfur protein) (ISP) (RISP)	petC	Spinacia oleracea (Spinach)	('1RFS', '6RQF', '7QRM', '7ZYV', '9ES7', '9ES8', '9ES9')	P08980;	2025-06-18	157	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), Caryophyllales (order), Chenopodiaceae (family), Chenopodioideae (subfamily), Anserineae (tribe), Spinacia (genus)	Eukaryota	True
P0A1B9	SCTN1_SALTY	('7.4.2.8',)	('SSF52540',)	Evidence at protein level	SPI-1 type 3 secretion system ATPase (T3SS-1 ATPase) (EC 7.4.2.8) (Invasion protein InvC)	sctN1 invC spaI spaL STM2894	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	('6RAD', '6RAE', '6SDX')	P0A1B9;	2025-06-18	120	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Salmonella (genus), Salmonella enterica (species), Salmonella enterica I (subspecies), Salmonella typhimurium (no rank)	Bacteria	True
P0A1C1	SCTN_SHIFL	('7.4.2.8',)	('SSF52540',)	Evidence at protein level	Type 3 secretion system ATPase (T3SS ATPase) (EC 7.4.2.8)	sctN mxiB spa47 spaL CP0149	Shigella flexneri	('5SWJ', '5SWL', '5SYP', '5SYR', '5YBH', '5YBI', '5ZT1', '6N6L', '6N6M', '6N6Z', '6N70', '6N71', '6N72', '6N73', '6N74', '6N75', '6N76')	P0A1C1;	2025-06-18	137	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Shigella (genus)	Bacteria	True
P0AAG0	DPPD_ECOLI	('7.4.2.9',)	('SSF52540',)	Evidence at protein level	Dipeptide transport ATP-binding protein DppD (EC 7.4.2.9)	dppD b3541 JW3510	Escherichia coli (strain K12)	('8Z1V', '8Z1W', '8Z1X', '8Z1Y')	P0AAG0;	2025-06-18	144	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P0AAH0	PSTB_ECOLI	('7.3.2.1',)	('SSF52540',)	Evidence at protein level	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	pstB phoT b3725 JW3703	Escherichia coli (strain K12)	()	P0AAH0;	2025-06-18	143	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P0ABI8	CYOB_ECOLI	('7.1.1.3',)	('SSF81442',)	Evidence at protein level	Cytochrome bo(3) ubiquinol oxidase subunit 1 (cyt bo(3) subunit 1) (EC 7.1.1.3) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	cyoB b0431 JW0421	Escherichia coli (strain K12)	('1FFT', '6WTI', '7CUB', '7CUQ', '7CUW', '7N9Z', '7XMC', '7XMD', '8F68', '8F6C', '8GO3', '8QQK')	P0ABI8;	2025-06-18	152	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P0CY48	UCRI_RHOCA	('7.1.1.8',)	('SSF50022',)	Evidence at protein level	Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 7.1.1.8) (Rieske iron-sulfur protein) (RISP)	petA fbcF	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	('1ZRT',)	P0CY48;	2025-04-09	48	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Rhodobacter group (no rank), Rhodobacter (genus)	Bacteria	True
P16262	COX1_BACP3	('7.1.1.9',)	('SSF81442',)	Evidence at protein level	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I)	ctaD caaB coi	Bacillus sp. (strain PS3)	()	P16262;	2025-02-05	141	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), unclassified Bacillus (in: firmicutes) (no rank)	Bacteria	True
