Entry	Entry Name	EC number	SUPFAM	Protein existence	Protein names	Gene Names	Organism	PDB	AlphaFoldDB	Date of last modification	Entry version	Taxonomic lineage	Super Kingdom	Is EC Complete
E7FHP1	ACDB1_PYRFU	('6.2.1.13',)	('SSF56059',)	Evidence at protein level	Acetate--CoA ligase [ADP-forming] I subunit beta (EC 6.2.1.13) (ADP-forming acetyl coenzyme A synthetase I subunit beta) (ACS I subunit beta)	acdBI PF1787	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	()	E7FHP1;	2025-02-05	67	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Pyrococcus (genus), Pyrococcus furiosus (species)	Archaea	True
I6YFP0	BIRA_MYCTU	('6.3.4.15',)	('SSF55681',)	Evidence at protein level	Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15) (Biotin--[biotin carboxyl-carrier protein] ligase) (Biotin--protein ligase) (BPL) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA Rv3279c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	('2CGH', '3L1A', '3L2Z', '3RUX', '4OP0', '4XTU', '4XTV', '4XTW', '4XTX', '4XTY', '4XTZ', '4XU0', '4XU1', '4XU2', '4XU3')	I6YFP0;	2025-06-18	81	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium tuberculosis complex (no rank), Mycobacterium tuberculosis (species)	Bacteria	True
O22898	LACS1_ARATH	('6.2.1.3',)	('SSF56801',)	Evidence at transcript level	Long chain acyl-CoA synthetase 1 (EC 6.2.1.3) (Protein ECERIFERUM 8)	LACS1 CER8 At2g47240 T8I13.8	Arabidopsis thaliana (Mouse-ear cress)	()	O22898;	2025-06-18	148	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Eukaryota	True
O23736	GSH1_BRAJU	('6.3.2.2',)	('SSF55931',)	Evidence at protein level	Glutamate--cysteine ligase, chloroplastic (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)	GSH1 ECS1	Brassica juncea (Indian mustard) (Sinapis juncea)	('2GWC', '2GWD', '6GMO')	O23736;	2025-02-05	110	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Brassiceae (tribe), Brassica (genus)	Eukaryota	True
O33469	PAAK_PSEPU	('6.2.1.30',)	('SSF56801',)	Evidence at protein level	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase)	paaK paaF pcl phaE	Pseudomonas putida (Arthrobacter siderocapsulatus)	()	O33469;	2025-04-09	69	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Pseudomonas (genus), Pseudomonas putida group (no rank)	Bacteria	True
O33855	MIG_MYCAV	('6.2.1.2',)	('SSF56801',)	Evidence at protein level	Medium-chain acyl-CoA ligase Mig (EC 6.2.1.2) (Macrophage-induced gene) (Medium-chain fatty acid acyl-CoA synthetase)	mig CKJ66_15745	Mycobacterium avium	()	O33855;	2025-06-18	80	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium avium complex (MAC) (no rank)	Bacteria	True
O34398	LIGD_BACSU	('6.5.1.1',)	('SSF56091',)	Evidence at transcript level	Bifunctional non-homologous end joining protein LigD (NHEJ DNA polymerase) [Includes: DNA ligase (Lig) (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]); DNA repair polymerase (Pol) (Polymerase/primase)]	ligd ykoU BSU13400	Bacillus subtilis (strain 168)	()	O34398;	2025-06-18	122	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), Bacillus subtilis group (no rank), Bacillus subtilis (species), Bacillus subtilis subsp. subtilis (subspecies)	Bacteria	True
O53580	FAA32_MYCTU	('6.2.1.20',)	('SSF56801',)	Evidence at protein level	Long-chain-fatty-acid--AMP ligase FadD32 (FAAL) (EC 6.2.1.20) (Acyl-AMP synthetase) (FAAL32)	fadD32 Rv3801c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	('5HM3',)	O53580;	2025-06-18	130	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium tuberculosis complex (no rank), Mycobacterium tuberculosis (species)	Bacteria	True
O65041	UBA3_ARATH	('6.2.1.64',)	('SSF69572',)	Evidence at protein level	NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64) (RUB-activating enzyme) (Ubiquitin-activating enzyme E1-like protein)	ECR1 At5g19180 T24G5_80	Arabidopsis thaliana (Mouse-ear cress)	()	O65041;	2025-06-18	172	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Eukaryota	True
O94609	UBA1_SCHPO	('6.2.1.45',)	('SSF69572',)	Evidence at protein level	Ubiquitin-activating enzyme E1 1 (EC 6.2.1.45) (Poly(A)+ RNA transport protein 3)	ptr3 SPBC1604.21c SPBC211.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	('4II2', '4II3', '5KNL', '5UM6', '6O82', '6O83', '9B5C', '9B5D', '9B5E', '9B5F', '9B5G', '9B5H', '9B5I', '9B5J', '9B5K', '9B5L', '9B5M', '9B5N', '9B5O', '9B5P', '9B5Q', '9B5R', '9B5S', '9B5T', '9B5U', '9B5V', '9B5W', '9B5X')	O94609;	2025-06-18	191	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), Taphrinomycotina (subphylum), Schizosaccharomycetes (class), Schizosaccharomycetales (order), Schizosaccharomycetaceae (family), Schizosaccharomyces (genus), Schizosaccharomyces pombe (species)	Eukaryota	True
P00963	ASNA_ECOLI	('6.3.1.1',)	('SSF55681',)	Evidence at protein level	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	asnA b3744 JW3722	Escherichia coli (strain K12)	('11AS', '12AS')	P00963;	2025-06-18	198	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P05166	PCCB_HUMAN	('6.4.1.3',)	('SSF52096',)	Evidence at protein level	Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)	PCCB	Homo sapiens (Human)	('7YBU', '8XL3', '8XL4', '8XL5')	P05166;	2025-06-18	224	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Eukaryota	True
P08164	NADE_BACSU	('6.3.1.5',)	('SSF52402',)	Evidence at protein level	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (General stress protein 38) (GSP38) (Spore outgrowth factor B) (Sporulation protein OutB)	nadE outB BSU03130	Bacillus subtilis (strain 168)	('1EE1', '1FYD', '1IFX', '1IH8', '1KQP', '1NSY', '2NSY')	P08164;	2025-06-18	173	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), Bacillus subtilis group (no rank), Bacillus subtilis (species), Bacillus subtilis subsp. subtilis (subspecies)	Bacteria	True
P09880	TRNL_YEAST	('6.5.1.3',)	('SSF52540',)	Evidence at protein level	tRNA ligase (EC 6.5.1.3)	TRL1 RLG1 YJL087C J0927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	()	P09880;	2025-06-18	179	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Saccharomyces (genus), Saccharomyces cerevisiae (species)	Eukaryota	True
P0A7D4	PURA_ECOLI	('6.3.4.4',)	('SSF52540',)	Evidence at protein level	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA adeK b4177 JW4135	Escherichia coli (strain K12)	('1ADE', '1ADI', '1CG0', '1CG1', '1CG3', '1CG4', '1CH8', '1CIB', '1GIM', '1GIN', '1HON', '1HOO', '1HOP', '1JUY', '1KJX', '1KKB', '1KKF', '1KSZ', '1NHT', '1QF4', '1QF5', '1SON', '1SOO', '2GCQ')	P0A7D4;	2025-06-18	163	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P0DX84	DMDB_RUELI	('6.2.1.44',)	('SSF56801',)	Evidence at protein level	3-methylmercaptopropionyl-CoA ligase (MMPA-CoA ligase) (EC 6.2.1.44)	dmdB SL1157_2728	Ruegeria lacuscaerulensis (strain DSM 11314 / KCTC 2953 / ITI-1157) (Silicibacter lacuscaerulensis)	('6IHK', '6IJB')		2025-06-18	8	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Ruegeria (genus), Ruegeria lacuscaerulensis (species)	Bacteria	True
P12063	SYYM_NEUCR	('6.1.1.1',)	('SSF52374',)	Evidence at protein level	Tyrosine--tRNA ligase, mitochondrial (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	cyt-18 B18P24.070 NCU03030	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	('1Y42', '2RKJ', '4OJM')	P12063;	2025-06-18	182	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Sordariomycetidae (subclass), Sordariales (order), Sordariaceae (family), Neurospora (genus), Neurospora crassa (species)	Eukaryota	True
P13000	BIOD1_ECOLI	('6.3.3.3',)	('SSF52540',)	Evidence at protein level	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase 1)	bioD1 b0778 JW0761	Escherichia coli (strain K12)	('1A82', '1BS1', '1BYI', '1DAD', '1DAE', '1DAF', '1DAG', '1DAH', '1DAI', '1DAK', '1DAM', '1DBS', '1DTS')	P13000;	2025-06-18	188	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P15625	SYFA_YEAST	('6.1.1.20',)	('SSF55681',)	Evidence at protein level	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	FRS2 YFL022C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	()	P15625;	2025-06-18	210	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Saccharomyces (genus), Saccharomyces cerevisiae (species)	Eukaryota	True
P16127	CHLI1_ARATH	('6.6.1.1',)	('SSF52540',)	Evidence at protein level	Magnesium-chelatase subunit ChlI-1, chloroplastic (Mg-chelatase subunit I-1) (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase subunit ChlI-1) (Protein CHLORINA 42)	CHLI1 CH42 CS At4g18480 F28J12.140	Arabidopsis thaliana (Mouse-ear cress)	()	P16127;	2025-06-18	180	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Eukaryota	True
P18843	NADE_ECOLI	('6.3.1.5',)	('SSF52402',)	Evidence at protein level	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (Nicotinamide adenine dinucleotide synthetase) (NADS) (Nitrogen regulatory protein)	nadE efg ntrL b1740 JW1729	Escherichia coli (strain K12)	('1WXE', '1WXF', '1WXG', '1WXH', '1WXI')	P18843;	2025-06-18	199	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P19409	BAIB_CLOSV	('6.2.1.7',)	('SSF56801',)	Evidence at protein level	Bile acid--coenzyme A ligase (EC 6.2.1.7) (Cholate--CoA ligase)	baiB	Clostridium scindens (strain JCM 10418 / VPI 12708)	('4LGC',)	P19409;	2025-02-05	91	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Lachnospirales (order), Lachnospiraceae (family), Lachnoclostridium (genus)	Bacteria	True
P19468	GSH1_RAT	('6.3.2.2',)	('SSF55931',)	Evidence at protein level	Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)	Gclc Glclc	Rattus norvegicus (Rat)	()	P19468;	2025-06-18	159	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Rattus (genus)	Eukaryota	True
P20973	UBE11_WHEAT	('6.2.1.45',)	('SSF69572',)	Evidence at protein level	Ubiquitin-activating enzyme E1 1 (EC 6.2.1.45)	UBA1	Triticum aestivum (Wheat)	()	P20973;	2025-02-05	131	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Pooideae (subfamily), Triticodae (no rank), Triticeae (tribe), Triticinae (subtribe), Triticum (genus)	Eukaryota	True
P22314	UBA1_HUMAN	('6.2.1.45',)	('SSF69572',)	Evidence at protein level	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	UBA1 A1S9T UBE1	Homo sapiens (Human)	('4P22', '6DC6', '7PYV')	P22314;	2025-06-18	251	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Eukaryota	True
P22515	UBA1_YEAST	('6.2.1.45',)	('SSF69572',)	Evidence at protein level	Ubiquitin-activating enzyme E1 1 (EC 6.2.1.45)	UBA1 YKL210W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	('3CMM', '4NNJ', '5L6H', '5L6I', '5L6J', '5TR4', '6NYA', '6ZHS', '6ZHT', '6ZHU', '6ZQH', '7K5J', '7ZH9')	P22515;	2025-06-18	232	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Saccharomyces (genus), Saccharomyces cerevisiae (species)	Eukaryota	True
P27550	ACSA_ECOLI	('6.2.1.1',)	('SSF56801',)	Evidence at protein level	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acs yfaC b4069 JW4030	Escherichia coli (strain K12)	()	P27550;	2025-06-18	186	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
P27616	PUR7_YEAST	('6.3.2.6',)	('SSF56104',)	Evidence at protein level	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	ADE1 YAR015W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	('1A48', '1OBD', '1OBG', '2CNQ', '2CNU', '2CNV')	P27616;	2025-06-18	208	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Saccharomyces (genus), Saccharomyces cerevisiae (species)	Eukaryota	True
